"","temperatura","fechas"
"286",18.4,2020-10-12
"287",16.6,2020-10-13
"288",14.3,2020-10-14
"289",13.2,2020-10-15
"290",14.2,2020-10-16
"291",16.6,2020-10-17
"292",18.1,2020-10-18
"293",16.2,2020-10-19
"294",15.3,2020-10-20
"295",14.3,2020-10-21
"296",13.2,2020-10-22
"297",12.5,2020-10-23
"298",11.7,2020-10-24
"299",11.3,2020-10-25
"300",12.3,2020-10-26
"301",12.2,2020-10-27
"302",14.3,2020-10-28
"303",16.5,2020-10-29
"304",18,2020-10-30
"305",17.9,2020-10-31
"306",17.7,2020-11-01
"307",14.9,2020-11-02
"308",10.5,2020-11-03
"309",11.6,2020-11-04
"310",15.5,2020-11-05
"311",13.2,2020-11-06
"312",13,2020-11-07
"313",13.9,2020-11-08
"314",14.9,2020-11-09
"315",14.3,2020-11-10
"316",13.7,2020-11-11
"317",14.7,2020-11-12
"318",13,2020-11-13
"319",13.9,2020-11-14
"320",16.4,2020-11-15
"321",14.4,2020-11-16
"322",14.1,2020-11-17
"323",17,2020-11-18
"324",14.6,2020-11-19
"325",13.5,2020-11-20
"326",13,2020-11-21
"327",13.5,2020-11-22
"328",11.7,2020-11-23
"329",10.5,2020-11-24
"330",10.7,2020-11-25
"331",10.8,2020-11-26
"332",10.1,2020-11-27
"333",11.6,2020-11-28
"334",0,2020-11-29
"335",13.7,2020-11-30
"336",11.2,2020-12-01
"337",7.6,2020-12-02
"338",6.8,2020-12-03
"339",6,2020-12-04
"340",6,2020-12-05
"341",8.8,2020-12-06
"342",8.4,2020-12-07
"343",7.6,2020-12-08
"344",10.5,2020-12-09
"345",13.9,2020-12-10
"346",12.7,2020-12-11
"347",11.2,2020-12-12
"348",11.3,2020-12-13
"349",10.1,2020-12-14
"350",9.2,2020-12-15
"351",12,2020-12-16
"352",9.7,2020-12-17
"353",8.4,2020-12-18
"354",11,2020-12-19
"355",9.2,2020-12-20
"356",10.7,2020-12-21
"357",8.8,2020-12-22
"358",10.6,2020-12-23
"359",8.5,2020-12-24
"360",8.2,2020-12-25
"361",5.1,2020-12-26
"362",7.9,2020-12-27
"363",6,2020-12-28
"364",6.6,2020-12-29
"365",6,2020-12-30
"366",6.3,2020-12-31
"367",5.3,2021-01-01
"368",5.1,2021-01-02
"369",4.7,2021-01-03
"370",5.5,2021-01-04
"371",5.4,2021-01-05
"372",2.8,2021-01-06
"373",1.3,2021-01-07
"374",0.6,2021-01-08
"375",4,2021-01-09
"376",4.3,2021-01-10
"377",2,2021-01-11
"378",3.8,2021-01-12
"379",5.6,2021-01-13
"380",6.5,2021-01-14
"381",7.5,2021-01-15
"382",7.6,2021-01-16
"383",9.1,2021-01-17
"384",7.3,2021-01-18
"385",5.6,2021-01-19
"386",9.2,2021-01-20
"387",9.1,2021-01-21
"388",7.3,2021-01-22
"389",11.1,2021-01-23
"390",11.2,2021-01-24
"391",13.3,2021-01-25
"392",16.3,2021-01-26
"393",12,2021-01-27
"394",11.2,2021-01-28
"395",11.7,2021-01-29
"396",11.4,2021-01-30
"397",13.2,2021-01-31
"398",11.1,2021-02-01
"399",11,2021-02-02
"400",12.1,2021-02-03
"401",13.8,2021-02-04
"402",10.2,2021-02-05
"403",9.6,2021-02-06
"404",8.8,2021-02-07
"405",7.7,2021-02-08
"406",10.9,2021-02-09
"407",11.3,2021-02-10
"408",12.6,2021-02-11
"409",13.5,2021-02-12
"410",13.6,2021-02-13
"411",12.6,2021-02-14
"412",12.5,2021-02-15
"413",13.6,2021-02-16
"414",13.5,2021-02-17
"415",14.6,2021-02-18
"416",14,2021-02-19
"417",10,2021-02-20
"418",9.7,2021-02-21
"419",11.6,2021-02-22
"420",11.8,2021-02-23
"421",12.1,2021-02-24
"422",14.3,2021-02-25
"423",16,2021-02-26
"424",11.8,2021-02-27
"425",10.1,2021-02-28
"426",12.2,2021-03-01
"427",13.2,2021-03-02
"428",11.7,2021-03-03
"429",12.9,2021-03-04
"430",13.4,2021-03-05
"431",11.9,2021-03-06
"432",10.4,2021-03-07
"433",11.6,2021-03-08
"434",12.2,2021-03-09
"435",14.4,2021-03-10
"436",13.6,2021-03-11
"437",12.9,2021-03-12
"438",13.8,2021-03-13
"439",14.6,2021-03-14
"440",13.8,2021-03-15
"441",14.3,2021-03-16
"442",11.4,2021-03-17
"443",9.5,2021-03-18
"444",9.3,2021-03-19
"445",11.6,2021-03-20
"446",12.8,2021-03-21
"447",15.2,2021-03-22
"448",16.4,2021-03-23
"449",16.7,2021-03-24
"450",15.5,2021-03-25
"451",14.1,2021-03-26
"452",16.5,2021-03-27
"453",17.2,2021-03-28
"454",17.1,2021-03-29
"455",18.2,2021-03-30
"456",18.4,2021-03-31
